Image ID,RGB,Hue,SortColor,geometry,centroid,latitude,longitude,ZipCode,LandUse,OwnerType,YearBuilt,YearBin,SVI_ID,SortYear
34,"(121, 123, 119)",63,170,"POLYGON ((-73.96349854516284 40.80924959388684, -73.96349854516284 40.80996876721133, -73.96421771848732 40.80996876721133, -73.96421771848732 40.80924959388684, -73.96349854516284 40.80924959388684))",POINT (-73.96385813182508 40.80960918054909),40.80960918054909,-73.96385813182508,10027,8.0,X,1901,1,34,50
241,"(127, 128, 126)",63,183,"POLYGON ((-73.95558763859351 40.813564633833785, -73.95558763859351 40.814283807158276, -73.956306811918 40.814283807158276, -73.956306811918 40.813564633833785, -73.95558763859351 40.813564633833785))",POINT (-73.95594722525576 40.813924220496034),40.813924220496034,-73.95594722525576,10027,4.0,,1901,1,241,51
352,"(137, 138, 140)",155,353,"POLYGON ((-73.9519917719711 40.81644132713175, -73.9519917719711 40.81716050045624, -73.95271094529558 40.81716050045624, -73.95271094529558 40.81644132713175, -73.9519917719711 40.81644132713175))",POINT (-73.95235135863334 40.816800913794),40.816800913794,-73.95235135863334,10027,2.0,,1901,1,352,52
259,"(155, 150, 151)",246,453,"POLYGON ((-73.95486846526903 40.812845460509294, -73.95486846526903 40.813564633833785, -73.95558763859351 40.813564633833785, -73.95558763859351 40.812845460509294, -73.95486846526903 40.812845460509294))",POINT (-73.95522805193129 40.813205047171536),40.813205047171536,-73.95522805193129,10027,2.0,,1901,1,259,53
70,"(99, 93, 78)",30,44,"POLYGON ((-73.96134102518938 40.80709207391337, -73.96134102518938 40.80781124723786, -73.96206019851387 40.80781124723786, -73.96206019851387 40.80709207391337, -73.96134102518938 40.80709207391337))",POINT (-73.96170061185163 40.80745166057561),40.80745166057561,-73.96170061185163,10027,8.0,X,1901,1,70,54
56,"(100, 113, 114)",130,543,"POLYGON ((-73.96206019851387 40.80781124723786, -73.96206019851387 40.80853042056235, -73.96277937183835 40.80853042056235, -73.96277937183835 40.80781124723786, -73.96206019851387 40.80781124723786))",POINT (-73.96241978517611 40.808170833900114),40.808170833900114,-73.96241978517611,10027,8.0,X,1901,1,56,55
417,"(128, 136, 137)",132,525,"POLYGON ((-73.95055342532213 40.8279481003236, -73.95055342532213 40.828667273648094, -73.95127259864661 40.828667273648094, -73.95127259864661 40.8279481003236, -73.95055342532213 40.8279481003236))",POINT (-73.95091301198437 40.828307686985845),40.828307686985845,-73.95091301198437,10031,2.0,,1901,1,417,56
282,"(126, 121, 109)",29,513,"POLYGON ((-73.95414929194455 40.81500298048277, -73.95414929194455 40.81572215380726, -73.95486846526903 40.81572215380726, -73.95486846526903 40.81500298048277, -73.95414929194455 40.81500298048277))",POINT (-73.95450887860677 40.815362567145016),40.815362567145016,-73.95450887860677,10027,4.0,,1901,1,282,57
73,"(101, 112, 115)",136,544,"POLYGON ((-73.96134102518938 40.80924959388684, -73.96134102518938 40.80996876721133, -73.96206019851387 40.80996876721133, -73.96206019851387 40.80924959388684, -73.96134102518938 40.80924959388684))",POINT (-73.96170061185163 40.80960918054909),40.80960918054909,-73.96170061185163,10027,8.0,X,1901,1,73,58
283,"(134, 138, 128)",59,420,"POLYGON ((-73.95414929194455 40.81572215380726, -73.95414929194455 40.81644132713175, -73.95486846526903 40.81644132713175, -73.95486846526903 40.81572215380726, -73.95414929194455 40.81572215380726))",POINT (-73.95450887860677 40.8160817404695),40.8160817404695,-73.95450887860677,10027,2.0,,1901,1,283,59
